id,label_no,label_desc,count_val,date,timestamp,username
1,0,1. Harsh acceleration,0,2023-08-22,2023-08-22 12:35:32.338282,hoa
2,1,2. Harsh deceleration,0,2023-08-22,2023-08-22 12:35:32.338282,hoa
3,2,3. Sharp cornering,0,2023-08-22,2023-08-22 12:35:32.338282,hoa
4,3,5. Tailgating,0,2023-08-22,2023-08-22 12:35:32.338282,hoa
5,4,7. Lane switch,0,2023-08-22,2023-08-22 12:35:32.338282,hoa
6,0,1. Harsh acceleration,0,2023-08-22,2023-08-22 12:36:02.086542,caroline
7,1,2. Harsh deceleration,0,2023-08-22,2023-08-22 12:36:02.086542,caroline
8,2,3. Sharp cornering,0,2023-08-22,2023-08-22 12:36:02.086542,caroline
9,3,5. Tailgating,0,2023-08-22,2023-08-22 12:36:02.086542,caroline
10,4,7. Lane switch,0,2023-08-22,2023-08-22 12:36:02.086542,caroline
11,0,1. Harsh acceleration,1,2023-08-22,2023-08-22 12:39:48.621000,caroline
12,1,2. Harsh deceleration,1,2023-08-22,2023-08-22 12:39:51.525000,caroline
13,1,2. Harsh deceleration,2,2023-08-22,2023-08-22 12:39:51.626000,caroline
14,2,3. Sharp cornering,1,2023-08-22,2023-08-22 12:39:52.516000,caroline
15,3,5. Tailgating,1,2023-08-22,2023-08-22 12:39:53.324000,caroline
16,4,7. Lane switch,1,2023-08-22,2023-08-22 12:39:54.116000,caroline
17,2,3. Sharp cornering,2,2023-08-22,2023-08-22 12:39:55.782000,caroline
18,0,1. Harsh acceleration,0,2023-08-22,2023-08-22 12:40:28.339171,samsungs22_1
19,1,2. Harsh deceleration,0,2023-08-22,2023-08-22 12:40:28.339171,samsungs22_1
20,2,3. Sharp cornering,0,2023-08-22,2023-08-22 12:40:28.339171,samsungs22_1
21,3,5. Tailgating,0,2023-08-22,2023-08-22 12:40:28.339171,samsungs22_1
22,4,7. Lane switch,0,2023-08-22,2023-08-22 12:40:28.339171,samsungs22_1
23,0,1. Harsh acceleration,1,2023-08-22,2023-08-22 12:40:30.437000,samsungs22_1
24,1,2. Harsh deceleration,1,2023-08-22,2023-08-22 12:40:31.069000,samsungs22_1
25,2,3. Sharp cornering,1,2023-08-22,2023-08-22 12:40:32.506000,samsungs22_1
26,2,3. Sharp cornering,2,2023-08-22,2023-08-22 12:40:33.345000,samsungs22_1
